image,quality,bpp,psnr,ms_ssim
kodim01.png,10,0.4398396809895833,24.774124145507812,0.9177619814872742
kodim02.png,10,0.22806803385416666,27.84783935546875,0.841923177242279
kodim03.png,10,0.23954264322916666,28.560808181762695,0.8902693390846252
kodim04.png,10,0.2629191080729167,27.826635360717773,0.8698799014091492
kodim05.png,10,0.5044759114583334,23.94970703125,0.9189086556434631
kodim06.png,10,0.3553263346354167,25.68518829345703,0.8799843192100525
kodim07.png,10,0.310302734375,27.714738845825195,0.9286696314811707
kodim08.png,10,0.5213826497395834,23.64547348022461,0.9354956150054932
kodim09.png,10,0.2668863932291667,28.5520076751709,0.9156991839408875
kodim10.png,10,0.2728271484375,28.21221160888672,0.8979125618934631
kodim11.png,10,0.3156534830729167,26.319835662841797,0.8856785297393799
kodim12.png,10,0.23724365234375,28.709400177001953,0.8818070292472839
kodim13.png,10,0.5034586588541666,22.797353744506836,0.8943168520927429
kodim14.png,10,0.3772176106770833,25.167739868164062,0.8913266062736511
kodim15.png,10,0.2589518229166667,27.822818756103516,0.878487765789032
kodim16.png,10,0.2655436197916667,27.685319900512695,0.8727836608886719
kodim17.png,10,0.28839111328125,27.982942581176758,0.9122705459594727
kodim18.png,10,0.3756306966145833,25.197811126708984,0.8881132006645203
kodim19.png,10,0.3100992838541667,26.845420837402344,0.8837273120880127
kodim20.png,10,0.2578125,28.272327423095703,0.9256190657615662
kodim21.png,10,0.3354695638020833,26.144821166992188,0.8994752764701843
kodim22.png,10,0.2940877278645833,26.732463836669922,0.8661481738090515
kodim23.png,10,0.23677571614583334,28.873424530029297,0.8831608891487122
kodim24.png,10,0.3802286783854167,24.803266525268555,0.9023898243904114
kodim01.png,20,0.70953369140625,26.94208526611328,0.9567651748657227
kodim02.png,20,0.3519490559895833,30.007511138916016,0.9014220237731934
kodim03.png,20,0.3503621419270833,31.444843292236328,0.9455967545509338
kodim04.png,20,0.4078572591145833,30.351398468017578,0.9319236874580383
kodim05.png,20,0.7994384765625,26.33266258239746,0.9607393741607666
kodim06.png,20,0.5673624674479166,28.113521575927734,0.9449028372764587
kodim07.png,20,0.4541829427083333,30.667287826538086,0.9651596546173096
kodim08.png,20,0.8068440755208334,26.023174285888672,0.9661944508552551
kodim09.png,20,0.3787434895833333,31.36357879638672,0.9529916644096375
kodim10.png,20,0.4007364908854167,30.954389572143555,0.946925163269043
kodim11.png,20,0.5067545572916666,28.755495071411133,0.944993793964386
kodim12.png,20,0.36053466796875,31.334819793701172,0.9359531998634338
