image,bpp,psnr,ms_ssim
kodim01.png,0.2037530392408371,25.342370986938477,0.9159473180770874
kodim02.png,0.08852921426296234,29.017467498779297,0.8861069083213806
kodim03.png,0.07713034749031067,30.204509735107422,0.9387593269348145
kodim04.png,0.09285619854927063,28.9687442779541,0.9010807871818542
kodim05.png,0.23907318711280823,24.812007904052734,0.9270355105400085
kodim06.png,0.14660920202732086,26.251205444335938,0.8955061435699463
kodim07.png,0.12168729305267334,29.040103912353516,0.9546394348144531
kodim08.png,0.2588227391242981,24.212993621826172,0.9398772716522217
kodim09.png,0.09262263774871826,29.74310874938965,0.9516832828521729
kodim10.png,0.09948545694351196,29.306772232055664,0.9349004626274109
kodim11.png,0.1230655163526535,27.186277389526367,0.9017273187637329
kodim12.png,0.08591382205486298,30.054576873779297,0.9118027687072754
kodim13.png,0.2324375957250595,22.72029685974121,0.8782684803009033
kodim14.png,0.15948501229286194,25.95203399658203,0.8975877165794373
kodim15.png,0.09141337126493454,29.017305374145508,0.9293400645256042
kodim16.png,0.08144591003656387,28.298824310302734,0.8981058597564697
kodim17.png,0.09617935121059418,28.89517593383789,0.9321820735931396
kodim18.png,0.1568966805934906,25.475032806396484,0.8949224352836609
kodim19.png,0.11213873326778412,27.789154052734375,0.9064890146255493
kodim20.png,0.09090211987495422,29.543188095092773,0.9483790397644043
kodim21.png,0.13978311419487,26.87797737121582,0.9369254112243652
kodim22.png,0.11277413368225098,27.459985733032227,0.8794214129447937
kodim23.png,0.07945603132247925,30.804597854614258,0.9441615343093872
kodim24.png,0.16457818448543549,24.98318862915039,0.9119560122489929
